avg_total_compensation,avg_base_salary,avg_ot_paid,payroll_record_count,title
60781.74140495868,57949.35950413223,8693.343388429752,242,SUPERVISOR OF STOCK WORKERS
60708.52879518072,49797.91090361446,13873.02293674699,664,CUSTODIAN
60303.470835654596,58351.31754874652,5975.4954317548745,359,FIRE PROTECTION INSPECTOR
60163.19695945946,63433.75,2772.9341216216217,148,COMPUTER SERVICE TECHNICIAN
60119.063148148154,61077.13888888889,957.7472222222221,108,COMPUTER AIDE-NON-SPVR
59976.62789968652,58730.02507836991,3846.2208777429464,638,ASSOCIATE PARK SERVICE WORKER
59752.29112903225,75929.8870967742,2163.4770161290326,124,INSPECTOR PLUMBING
59432.54427414331,59805.0785046729,1670.8474392523365,1605,SENIOR POLICE ADMINISTRATIVE AIDE
59380.4486,66379.66615384615,63.06007692307693,650,ASSISTANT TO HEO
59315.21653543307,73411.02362204724,1262.316062992126,127,CONTRACT SPECIALIST
59105.56475340136,63873.545918367345,3849.6041751700677,1176,PROBATION OFFICER
58517.337942583734,69040.33971291866,1541.4371291866028,209,SOCIAL WORKER
58182.77323394495,60131.04816513762,3913.9622935779817,436,WATERSHED MAINTAINER
58173.696613953485,65028.81308837209,1643.4846139534884,1075,CUSTOMER INFORMATION REPRESENTATIVE MA L 1549
58157.07423162583,60359.10022271715,3134.1890200445437,449,BOOKKEEPER
58115.548437956204,65533.09927007299,1949.318218978102,685,PUBLIC HEALTH SANITARIAN
57837.37003205128,71372.50480769231,254.2804166666667,624,SUBSTANCE ABUSE PREVENTION & INTERVENTION SPECIALIST
57815.61648854962,52278.896946564884,15941.064236641221,262,CONGREG CARE SPEC - ACS
57072.611304347825,65193.46956521739,1021.8174782608695,115,RESEARCH ASSISTANT
57051.00216216216,66706.96138996139,1376.7223166023166,259,CRIME ANALYST
56938.286640536244,50372.39309247898,12269.426743921837,8802,SCHOOL SAFETY AGENT
56921.84752747253,62745.32417582418,991.7939010989011,182,IT ASSISTANT
56703.118962962966,59153.2,7089.130666666667,135,EXTERMINATOR
56518.83652406417,59767.52406417112,3332.8883422459894,374,GARDENER
56341.02655386526,55256.17975783918,8094.989981372245,3221,POLICE COMMUNICATIONS TECHNICIAN
56283.514278686154,50464.09911734916,7796.323239762697,6911,EMERGENCY MEDICAL SPECIALIST-EMT
56263.0988365243,59018.74642120766,2199.0118703976436,679,PARALEGAL AIDE
55975.09575471698,74484.51886792453,28.128301886792453,106,ASSOCIATE CORRECTIONAL COUNSELOR
55902.13704761904,51432.509523809524,9069.130904761905,210,FINANCIAL CLERK
55218.74814371257,65869.88241698421,5095.574177100345,5511,CHILD PROTECTIVE SPECIALIST
55065.972633361554,68199.51779847586,2076.7781625740895,1181,INSPECTOR
54339.386116322705,57965.29580988117,15830.035328330205,1599,YOUTH DEVELOPMENT SPECIALIST
54039.807175141235,60690.27683615819,70.11790960451978,177,CUNY ADMINISTRATOR ASSISTANT
53872.74398878504,52667.243364485985,5056.475218691589,2675,CASEWORKER
53743.93586583463,60729.78627145086,758.402496099844,641,PUBLIC HEALTH ADVISER
52944.418283653846,61472.54230769231,3062.2925865384614,2080,HOUSING ASSISTANT
52822.52965274106,49533.76379340737,10464.154574299313,5673,TRAFFIC ENFORCEMENT AGENT
52544.90140495868,45269.9173553719,13905.78611570248,121,INSTITUTIONAL AIDE
52000.03624254473,63731.95499005964,3300.619950298211,1006,INVESTIGATOR
51921.33685258964,59847.28818061089,960.968738379814,753,SCHOOL FOOD SERVICE MANAGER
51892.77,53835.26190476191,2694.8068253968254,126,RECREATION DIRECTOR
51540.923645410985,53092.91333210468,2656.858606708441,2713,CLERICAL ASSOCIATE MOST MAYORAL AG
51023.63885245902,51470.74590163935,6337.033032786885,122,WATER USE INSPECTOR
49943.51125683061,67000.18579234973,1426.7026775956283,183,PROJECT MANAGER INTERN#
49935.82026490066,51243.013245033115,2041.0617218543048,151,RECREATION SPECIALIST
48142.43564266784,48367.53003533569,6516.766519434629,4528,ELIGIBILITY SPECIALIST
48056.27834677419,51122.026730510755,2337.9333938172044,2976,CLERICAL ASSOCIATE
47634.18252427184,48092.19902912621,6728.552038834951,206,CLERK TO THE BOARD
